id,nCorrect_(of 12),n_correct_(predicted first),n_correct_(after test),astrologicalExperienceLabel,Astrologer,typesOfAstrologyExperiencedWith,percentOfTheirAstrologicalInsightsTheyThinkAreAccurate,beliefInAstrologyLabel,beliefInAstrologyScore,answer1Correct,answer2Correct,answer3Correct,answer4Correct,answer5Correct,answer6Correct,answer7Correct,answer8Correct,answer9Correct,answer10Correct,answer11Correct,answer12Correct
12771425,2,2,2,I've never done it before,Guesser,Western,,Total skeptic,-3,0,0,1,0,0,1,0,0,0,0,0,0
12771383,5,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,1,1,1,0,0,0,1,1,0,0
12771360,1,0,0,I'm between an amateur and an expert,Guesser,Vedic,90,Believer but not total believer,2,0,0,0,0,0,0,0,0,1,0,0,0
12771350,0,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,0
12771337,3,2,0,I've never done it before,Guesser,,,Total skeptic,-3,0,0,1,1,0,0,1,0,0,0,0,0
12771331,2,12,8,I have a little experience,Astrologer,"Esoteric,Psychological,Evolutionary,Humanistic,Western",5,I lean towards believing,1,0,1,0,0,0,1,0,0,0,0,0,0
12771313,4,5,0,I'm an experienced amateur,Astrologer,Western,50,Skeptic but not total skeptic,-2,1,0,0,0,1,1,1,0,0,0,0,0
12771232,2,5,3,I've never done it before,Guesser,,,Total skeptic,-3,0,1,0,0,0,0,0,0,0,0,1,0
12771215,0,8,8,I'm an experienced amateur,Astrologer,Traditional,70,I lean towards believing,1,0,0,0,0,0,0,0,0,0,0,0,0
12771210,1,0,0,I've never done it before,Guesser,none,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,1
12771200,1,0,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,1,0,0
12771180,1,11,2,I have a little experience,Astrologer,Traditional,10,On the fence or neither a skeptic nor a believer,0,0,0,0,0,0,1,0,0,0,0,0,0
12770476,4,5,7,I have a little experience,Astrologer,Western,50,Believer but not total believer,2,1,0,0,0,1,1,0,0,1,0,0,0
12771130,3,1,2,I have a little experience,Guesser,Traditional,,I lean towards skepticism,-1,1,0,0,0,1,0,0,0,0,0,0,1
12771109,2,11,10,I'm an expert but not world-class,Astrologer,"Medical,Hellenistic,Esoteric",90,Total believer,3,0,0,0,1,0,0,0,0,1,0,0,0
12771095,4,3,3,I'm an experienced amateur,Astrologer,Jungian,50,Skeptic but not total skeptic,-2,0,1,0,1,0,0,0,1,0,1,0,0
12771092,2,2,2,I have a little experience,Guesser,Western,,Total skeptic,-3,0,0,1,1,0,0,0,0,0,0,0,0
12771073,1,1,1,I've never done it before,Guesser,Traditional,,Skeptic but not total skeptic,-2,0,0,0,0,0,0,1,0,0,0,0,0
12771071,1,11,11,I have a little experience,Astrologer,Western,50,Total believer,3,0,0,0,0,0,1,0,0,0,0,0,0
12771040,1,0,0,I've never done it before,Guesser,,,I lean towards skepticism,-1,1,0,0,0,0,0,0,0,0,0,0,0
12771013,3,2,1,I've never done it before,Guesser,Western,,Total skeptic,-3,0,1,0,0,0,0,0,0,0,0,1,1
12771010,0,12,12,I've never done it before,Guesser,"Western,Esoteric,Egyptian,Psychological,Cosmobiology",,I lean towards believing,1,0,0,0,0,0,0,0,0,0,0,0,0
12771007,2,2,2,I've never done it before,Guesser,Traditional,,Total skeptic,-3,1,0,0,0,0,0,0,0,0,0,0,1
12771006,3,11,11,I have a little experience,Astrologer,Traditional,50,Total skeptic,-3,0,0,1,0,0,0,1,0,0,0,0,1
12770958,3,12,11,I've never done it before,Guesser,,70,Believer but not total believer,2,0,0,0,1,1,0,0,0,1,0,0,0
12770931,3,3,4,I've never done it before,Guesser,,,I lean towards believing,1,0,0,1,0,0,1,0,0,1,0,0,0
12770926,3,5,0,I have a little experience,Astrologer,"Psychological,Traditional",5,On the fence or neither a skeptic nor a believer,0,0,1,0,0,0,1,0,0,0,0,1,0
12770899,5,9,7,I'm between an amateur and an expert,Astrologer,"Humanistic,Evolutionary,Western,Psychological",70,Total believer,3,1,1,1,0,1,1,0,0,0,0,0,0
12770885,2,6,7,I have a little experience,Astrologer,"Egyptian,Esoteric,Traditional,Hellenistic",100,Total believer,3,0,0,0,0,0,1,0,1,0,0,0,0
12770881,4,1,1,I've never done it before,Guesser,"Chinese,Western",,On the fence or neither a skeptic nor a believer,0,0,0,0,0,1,1,0,0,1,0,1,0
12770874,2,0,0,I've never done it before,Guesser,,,Total skeptic,-3,0,0,1,0,0,0,0,0,0,0,0,1
12770844,2,2,0,I've never done it before,Guesser,,,Total skeptic,-3,0,0,1,0,1,0,0,0,0,0,0,0
12770842,3,12,12,I've never done it before,Guesser,Traditional,40,I lean towards skepticism,-1,1,0,0,0,0,0,1,0,0,1,0,0
12770795,2,5,5,I'm an experienced amateur,Astrologer,"Western,Traditional,Psychological",70,Believer but not total believer,2,1,0,0,0,0,1,0,0,0,0,0,0
12770781,0,7,7,I have a little experience,Astrologer,"Esoteric,Traditional,Western",60,Believer but not total believer,2,0,0,0,0,0,0,0,0,0,0,0,0
12770756,2,9,7,I'm between an amateur and an expert,Astrologer,"Western,Vedic,Horary",70,Believer but not total believer,2,0,0,1,0,1,0,0,0,0,0,0,0
12770743,4,3,3,I've never done it before,Guesser,,,Total skeptic,-3,0,1,0,0,1,0,1,1,0,0,0,0
12770725,2,2,2,I've never done it before,Guesser,,,Total skeptic,-3,1,0,0,0,0,0,0,0,0,0,1,0
12770717,2,1,0,I've never done it before,Guesser,,,Skeptic but not total skeptic,-2,0,0,1,0,0,0,0,0,1,0,0,0
12770713,2,2,3,I have a little experience,Guesser,"Vedic,Chinese,Western,Traditional",30,I lean towards believing,1,1,0,0,0,0,1,0,0,0,0,0,0
12770710,2,11,11,I have a little experience,Astrologer,"Traditional,Vedic",90,Believer but not total believer,2,0,0,1,0,1,0,0,0,0,0,0,0
12770681,2,6,3,I've never done it before,Guesser,"Renaissance,Traditional,Psychological",60,Total skeptic,-3,0,0,0,0,1,0,0,0,0,0,1,0
12770677,4,11,6,I've never done it before,Guesser,Western,,On the fence or neither a skeptic nor a believer,0,1,0,0,0,1,1,0,0,1,0,0,0
12770676,0,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,0
12770669,0,0,0,I've never done it before,Guesser,Western,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,0
12770648,4,11,11,I've never done it before,Guesser,,,Skeptic but not total skeptic,-2,0,0,0,0,0,1,1,1,0,0,1,0
12770645,2,11,5,I've never done it before,Guesser,,100,On the fence or neither a skeptic nor a believer,0,0,0,0,1,0,0,0,0,0,0,1,0
12770638,1,4,2,I'm an experienced amateur,Astrologer,"Traditional,Humanistic,Chinese",60,Believer but not total believer,2,1,0,0,0,0,0,0,0,0,0,0,0
12770635,4,3,2,I have a little experience,Astrologer,Western,1,Total skeptic,-3,1,0,1,0,1,0,1,0,0,0,0,0
12770631,3,6,5,I've never done it before,Guesser,Esoteric,,Skeptic but not total skeptic,-2,0,0,0,1,0,0,0,0,1,0,0,1
12770627,3,7,6,I'm an experienced amateur,Astrologer,Western,60,I lean towards skepticism,-1,1,0,0,0,0,1,0,0,0,0,0,1
12770620,3,3,3,I've never done it before,Guesser,,,Total skeptic,-3,0,1,1,0,0,0,0,0,1,0,0,0
12770619,2,2,3,I'm an expert but not world-class,Guesser,"Mundane,Chinese,Western",40,I lean towards skepticism,-1,0,0,1,1,0,0,0,0,0,0,0,0
12770618,1,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,1,0,0
12770601,1,3,2,I've never done it before,Guesser,,,Skeptic but not total skeptic,-2,0,0,0,0,0,0,0,1,0,0,0,0
12770599,4,4,5,I have a little experience,Astrologer,Western,50,Skeptic but not total skeptic,-2,1,0,1,0,0,1,0,1,0,0,0,0
12770324,1,4,5,I have a little experience,Astrologer,,50,On the fence or neither a skeptic nor a believer,0,0,0,0,0,1,0,0,0,0,0,0,0
12770304,0,3,1,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,0
12770201,2,3,3,I have a little experience,Astrologer,"Western,Traditional",60,On the fence or neither a skeptic nor a believer,0,0,0,0,0,1,1,0,0,0,0,0,0
12770174,2,3,4,I'm an experienced amateur,Astrologer,"Esoteric,Traditional",30,I lean towards skepticism,-1,1,0,1,0,0,0,0,0,0,0,0,0
12770155,6,3,2,I've never done it before,Guesser,,,Total skeptic,-3,1,0,0,0,0,1,1,0,1,1,1,0
12770137,5,6,0,I've never done it before,Guesser,,,Total skeptic,-3,1,1,1,1,1,0,0,0,0,0,0,0
12770129,3,10,4,I'm between an amateur and an expert,Astrologer,"Esoteric,Western,Traditional,Evolutionary",95,Total believer,3,1,0,1,0,0,1,0,0,0,0,0,0
12770110,1,2,2,I've never done it before,Guesser,Randomness,,Total skeptic,-3,0,0,0,0,0,0,1,0,0,0,0,0
12770087,4,6,6,I'm an experienced amateur,Astrologer,"Electional,Western,Uranian,Mundane,Horary,Cosmobiology",40,Total believer,3,0,0,0,1,0,1,0,1,1,0,0,0
12770063,2,3,3,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,1,1,0,0,0,0
12770040,0,3,2,I've never done it before,Guesser,Well ya pick up some things here and there over a lifetime i suppose.Maybe.,,On the fence or neither a skeptic nor a believer,0,0,0,0,0,0,0,0,0,0,0,0,0
12770036,2,2,2,I've never done it before,Guesser,Western,0,Total skeptic,-3,0,0,0,0,0,0,0,1,0,0,0,1
12770035,4,2,2,I've never done it before,Guesser,Western,,Skeptic but not total skeptic,-2,1,0,1,1,0,1,0,0,0,0,0,0
12769891,3,12,12,I'm an experienced amateur,Astrologer,Western,50,On the fence or neither a skeptic nor a believer,0,0,0,0,1,0,0,0,1,0,1,0,0
12769681,3,7,7,I'm between an amateur and an expert,Astrologer,"Traditional,Western",80,Total believer,3,1,0,0,1,1,0,0,0,0,0,0,0
12769659,3,6,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,1,0,0,1,0,0,0,0,0,1
12769640,3,6,6,I'm between an amateur and an expert,Astrologer,"Traditional,Western",60,I lean towards believing,1,1,0,1,0,0,1,0,0,0,0,0,0
12769467,1,8,5,I'm an experienced amateur,Astrologer,Traditional,70,On the fence or neither a skeptic nor a believer,0,0,0,0,0,0,1,0,0,0,0,0,0
12769439,3,2,1,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,1,0,0,0,0,1,1
12769433,2,6,6,I've never done it before,Guesser,none and that is ok,,Skeptic but not total skeptic,-2,0,1,0,0,0,0,0,0,0,0,1,0
12769412,3,2,2,I've never done it before,Guesser,,,Total skeptic,-3,1,1,0,0,0,0,0,0,0,0,0,1
12769401,2,7,1,I have a little experience,Astrologer,Psychological,,Total skeptic,-3,1,0,0,0,0,0,0,0,1,0,0,0
12769394,1,11,11,I'm between an amateur and an expert,Astrologer,Mundane,50,On the fence or neither a skeptic nor a believer,0,0,0,0,0,0,0,0,1,0,0,0,0
12769364,4,2,2,I have a little experience,Guesser,Chinese,20,On the fence or neither a skeptic nor a believer,0,0,0,1,1,0,0,0,1,1,0,0,0
12769359,3,4,4,I'm between an amateur and an expert,Astrologer,"Degree Theory,Humanistic,Psychological,Traditional",60,Believer but not total believer,2,1,0,1,0,0,0,0,1,0,0,0,0
12769348,2,11,11,I'm a world-class expert,Astrologer,"Uranian,Egyptian,Mayan,Horary,Cosmobiology,Western,Traditional,Medieval,Vedic,Renaissance,Electional,Hellenistic,Degree Theory,Mundane",99,Total believer,3,0,1,0,0,1,0,0,0,0,0,0,0
12769331,3,6,5,I'm an experienced amateur,Astrologer,"Traditional,Western,Mundane,Psychological,Evolutionary,Medical",40,Total believer,3,0,0,1,0,0,0,1,1,0,0,0,0
12769200,3,2,2,I've never done it before,Guesser,None,,Total skeptic,-3,0,0,0,0,0,0,1,0,0,1,0,1
12769089,4,12,6,I'm between an amateur and an expert,Astrologer,"Traditional,Uranian,Western,Horary,Hellenistic,Evolutionary,Mundane",80,Total believer,3,0,0,0,0,1,1,0,0,1,1,0,0
12769052,1,11,11,I'm an experienced amateur,Astrologer,Western,90,On the fence or neither a skeptic nor a believer,0,0,1,0,0,0,0,0,0,0,0,0,0
12768866,3,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,1,1,0,1,0,0
12768605,3,6,8,I'm between an amateur and an expert,Astrologer,"Psychological,Western",70,On the fence or neither a skeptic nor a believer,0,0,0,0,1,1,0,0,0,1,0,0,0
12768185,1,5,7,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,1,0,0,0,0,0,0
12767978,2,0,1,I have a little experience,Guesser,,50,I lean towards skepticism,-1,0,0,0,0,0,1,0,0,1,0,0,0
12768218,5,4,2,I have a little experience,Astrologer,"Chinese,Western",,I lean towards believing,1,1,0,0,1,0,1,0,0,1,0,1,0
12767410,3,7,8,I'm an experienced amateur,Astrologer,"Hellenistic,Western,Traditional",80,I lean towards believing,1,1,0,1,0,0,1,0,0,0,0,0,0
12767040,2,6,6,I'm between an amateur and an expert,Astrologer,"Psychological,Western,Traditional",70,I lean towards believing,1,0,0,0,1,0,0,1,0,0,0,0,0
12767013,3,11,8,I'm an experienced amateur,Astrologer,Psychological,90,On the fence or neither a skeptic nor a believer,0,0,1,1,0,0,0,0,1,0,0,0,0
12766842,3,12,12,I'm an expert but not world-class,Astrologer,"Evolutionary,Psychological,Western,Chinese",99,Total believer,3,0,1,0,0,0,0,0,0,1,0,0,1
12766346,3,1,3,I'm an experienced amateur,Guesser,Western,70,On the fence or neither a skeptic nor a believer,0,1,0,1,0,0,0,0,0,0,1,0,0
12766129,2,6,3,I'm between an amateur and an expert,Astrologer,"Western,Traditional,Hellenistic",80,Believer but not total believer,2,0,0,1,0,0,0,0,0,0,1,0,0
12766031,1,12,11,I'm between an amateur and an expert,Astrologer,"Traditional,Western",80,Believer but not total believer,2,0,1,0,0,0,0,0,0,0,0,0,0
12765889,4,6,7,I'm an experienced amateur,Astrologer,"Traditional,Hellenistic,Psychological,Electional,Mundane,Horary,Western",60,Total believer,3,0,0,1,0,1,1,0,1,0,0,0,0
12765880,2,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,1,0,0,0,0,1
12765834,1,11,11,I'm a world-class expert,Astrologer,Evolutionary,95,Total believer,3,0,0,0,0,1,0,0,0,0,0,0,0
12765759,4,7,7,I'm an experienced amateur,Astrologer,"Western,Psychological",70,Total believer,3,1,1,0,0,0,1,0,0,1,0,0,0
12765667,3,11,9,I'm between an amateur and an expert,Astrologer,Evolutionary,80,On the fence or neither a skeptic nor a believer,0,0,0,0,0,0,1,0,0,0,1,1,0
12765587,2,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,1,0,1,0,0,0,0,0,0,0
12765408,4,3,2,I'm between an amateur and an expert,Astrologer,Western,20,I lean towards believing,1,1,0,0,1,0,0,0,1,0,1,0,0
12765210,1,2,3,I've never done it before,Guesser,,50,Total skeptic,-3,0,0,0,1,0,0,0,0,0,0,0,0
12765057,3,12,12,I'm an expert but not world-class,Astrologer,"Evolutionary,Western",50,I lean towards believing,1,1,0,0,0,0,1,0,1,0,0,0,0
12764955,2,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,1,1,0,0,0,0,0,0
12764894,3,10,9,I'm between an amateur and an expert,Astrologer,"Electional,Hellenistic,Horary,Western",95,Total believer,3,0,1,0,0,0,0,0,0,1,0,1,0
12764874,0,3,0,I'm an experienced amateur,Astrologer,"Egyptian,Renaissance,Medieval,Esoteric",30,I lean towards believing,1,0,0,0,0,0,0,0,0,0,0,0,0
12764660,0,0,0,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,0
12764627,2,10,8,I'm an expert but not world-class,Astrologer,"Traditional,Western",60,Skeptic but not total skeptic,-2,0,0,0,0,0,1,0,0,1,0,0,0
12764576,3,12,9,I'm an experienced amateur,Astrologer,Western,50,Total believer,3,0,1,0,1,0,0,0,0,0,0,1,0
12764529,2,1,1,I've never done it before,Guesser,,,Total skeptic,-3,1,0,1,0,0,0,0,0,0,0,0,0
12764364,1,11,0,I've never done it before,Guesser,Astro logic EL,100,Total believer,3,0,0,0,0,0,0,1,0,0,0,0,0
12764352,3,3,3,I'm an experienced amateur,Astrologer,Western,,Skeptic but not total skeptic,-2,1,0,0,0,0,1,0,1,0,0,0,0
12764233,2,6,3,I'm between an amateur and an expert,Astrologer,"Horary,Electional,Hellenistic,Traditional,Psychological,Mundane",80,Total believer,3,0,0,0,0,0,1,1,0,0,0,0,0
12764231,0,3,3,I've never done it before,Guesser,Zodiac,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,0
12764006,3,6,0,I've never done it before,Guesser,Mundane,,Total skeptic,-3,0,1,0,0,0,0,0,1,1,0,0,0
12763617,3,3,2,I've never done it before,Guesser,None,,Total skeptic,-3,0,0,1,0,0,0,0,0,0,0,1,1
12763314,3,4,6,I have a little experience,Astrologer,Western,50,I lean towards skepticism,-1,1,0,1,0,0,1,0,0,0,0,0,0
12762902,2,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,1,0,0,0,0,0,0,1,0
12762897,1,1,1,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,1,0,0,0,0,0,0
12762870,0,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,0
12762710,4,3,3,I have a little experience,Astrologer,Traditional,50,On the fence or neither a skeptic nor a believer,0,1,0,0,0,1,1,0,0,0,1,0,0
12762477,2,2,2,I have a little experience,Guesser,Traditional,,Skeptic but not total skeptic,-2,0,1,0,0,0,0,0,0,1,0,0,0
12762361,0,11,10,I have a little experience,Astrologer,"Chinese,Evolutionary,Egyptian,Renaissance",40,I lean towards believing,1,0,0,0,0,0,0,0,0,0,0,0,0
12762089,4,3,3,I've never done it before,Guesser,,,I lean towards skepticism,-1,0,1,0,1,0,0,0,1,0,0,0,1
12762067,2,2,2,I've never done it before,Guesser,Psychological,,Total skeptic,-3,0,0,0,0,0,0,0,0,1,0,0,1
12762057,1,2,2,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,0,0,0,0,0,1
12740636,4,5,6,I'm between an amateur and an expert,Astrologer,"Psychological,Traditional,Evolutionary,Hellenistic,Electional,Western,Degree Theory,Horary,Mundane",80,Total believer,3,0,0,0,1,1,1,0,0,1,0,0,0
12728129,4,11,9,I'm a world-class expert,Astrologer,"Mundane,Western,Renaissance,Egyptian,Traditional,Medieval,Psychological,Hellenistic,Horary",80,Total believer,3,0,1,0,0,1,0,1,0,1,0,0,0
12700070,2,12,8,I'm a world-class expert,Astrologer,"Mundane,Degree Theory,Western,Sabian Symbols",99,Total believer,3,0,1,1,0,0,0,0,0,0,0,0,0
12655600,4,0,4,I've never done it before,Guesser,Western,,I lean towards believing,1,1,0,1,1,0,0,0,0,0,0,0,1
12627422,3,8,8,I'm an experienced amateur,Astrologer,Western,80,Believer but not total believer,2,0,0,0,0,0,1,0,0,1,0,1,0
